No.,n(SMILES),p(SMILES),,,Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),PCE_max(%)
609,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C6C=C(C(N(C(CCCCCC)CCCCCC)C7=O)=O)C8=C7C=CC3=C58)C(C9=C6OC(C%10=CC%11=C(C=C%10)C%12=CC=C(C(O%13)=CC%14=C%13C%15=C%16C%17=C(C%18=CC=C(C(N(C(CCCCCC)CCCCCC)C%19=O)=O)C%20=C%19C=C%14C%16=C%18%20)C=CC%21=C%17C(C(N(C(CCCCCC)CCCCCC)C%21=O)=O)=C%15)C=C%12C%11(CCCCCCCC)CCCCCCCC)=C9)=CC1=C42,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,9.88,0.616,1.04,5.86,3.56,2.3,5.23,3.4,1.83,6.33
610,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(S1)=CC(F)=C1C2=C(F)C=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C)C4=NON=C43)S2,,,15.11,0.63,1.01,5.66,4.11,1.55,5.33,3.61,1.72,10.2
611,CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(Cl)C(Cl)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C5=C1C=C(C(S6)=CC7=C6C(SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10C7(CCCCCC)CCCCCC)S5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,21.3,0.668,0.65,5.29,3.93,1.36,5.18,3.38,1.8,9.28
612,CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C5=C1C=C(C(S6)=CC7=C6C(SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10C7(CCCCCC)CCCCCC)S5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,20.1,0.696,0.68,5.26,3.87,1.39,5.18,3.38,1.8,9.47
613,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC2=CC(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)=CC=C2S1,,,14.2,0.487,0.985,5.55,3.95,1.6,5.55,3.72,1.83,6.8
614,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC2=CC(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)=CC=C2S1,,,17.5,0.537,0.899,5.75,4.2,1.55,5.55,3.72,1.83,8.5
615,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC2=CC=C(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)C=C2S1,,,13,0.592,0.899,5.55,3.95,1.6,5.35,3.63,1.72,6.9
616,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC2=CC=C(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)C=C2S1,,,12.9,0.682,0.778,5.75,4.2,1.55,5.35,3.63,1.72,6.8
617,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,15.93,0.67,0.81,5.6,4,1.6,5.22,3.64,1.58,8.73
618,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CC(CC)CCCC)(CC(CC)CCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CC(CC)CCCC)CC(CC)CCCC)N(CC)C1=S,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,15.81,0.6,1,5.5,3.9,1.6,5.22,3.64,1.58,9.45
619,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,26.36,0.62,0.72,5.4,4.2,1.2,5.22,3.64,1.58,11.88
620,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C/5=C(C#N)/C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C=C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)S%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CC)CCCC)S9,,,11.39,0.517,0.872,5.31,3.91,1.4,5.21,2.9,2.31,5.13
621,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CC)CCCC)S9,,,18.76,0.582,0.96,5.31,3.68,1.63,5.21,2.9,2.31,10.48
622,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C/5=C(C#N)/C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C=C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)S%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,7.16,0.528,0.894,5.31,3.91,1.4,5.26,3.16,2.1,3.38
623,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,14.67,0.596,1.006,5.31,3.68,1.63,5.26,3.16,2.1,8.79
624,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(S6)=CC7=C6C=C(C8=C(C(N9CC(CCCCCCCC)CCCCCCCCCC)=O)C(C9=O)=C(C%10=CC%11=C(C=C(C(SC%12=C%13C%14=CC=C(CC(CC)CCCC)S%14)=CC%12=C(C%15=CC=C(CC(CC)CCCC)S%15)C%16=C%13C=C(C%17=C%18C(C(F)=C(C(OCC(CC)CCCC)=O)S%18)=C(C)S%17)S%16)S%11)S%10)N8CCCCCCCC)S7)S5,,,15.31,0.6,0.89,5.48,3.83,1.65,5.31,3.66,1.65,8.18
625,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(S6)=CC7=C6C=C(C8=C(C(N9CC(CCCCCCCC)CCCCCCCCCC)=O)C(C9=O)=C(C%10=CC%11=C(C=C(C(SC%12=C%13C%14=CC=C(CC(CC)CCCC)S%14)=CC%12=C(C%15=CC=C(CC(CC)CCCC)S%15)C%16=C%13C=C(C%17=C%18C(C(F)=C(C(OCC(CC)CCCC)=O)S%18)=C(C)S%17)S%16)S%11)S%10)N8CCCCCCCC)S7)S5,,,21.44,0.55,0.74,5.44,4.19,1.25,5.31,3.66,1.65,8.73
626,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,21.3,0.68,0.71,5.44,4.19,1.25,5.22,3.64,1.58,10.2
627,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5[Se]C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15[Se]%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.45,0.51,0.95,5.55,3.9,1.65,5.45,3.65,1.8,7.46
628,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5[Se]C7=C6SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(Cl)C(Cl)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15[Se]%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,22.92,0.75,0.78,5.65,4.08,1.57,5.45,3.65,1.8,13.32
629,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CC(CCCC)CCCCCC)C8=C7SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CC(CCCCCC)CCCC)C%14=C%15SC(/C=C%16C(C(C=CC=C%17)=C%17C\%16=C(C#N)/C#N)=O)=C%14)=C%15S%13,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,7.16,0.586,0.95,5.47,3.82,1.65,5.33,3.29,2.04,3.98
630,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CC(CCCC)CCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CC(CCCCCC)CCCC)C%14=C%15SC(/C=C%16C(C(C=C(F)C(F)=C%17)=C%17C\%16=C(C#N)/C#N)=O)=C%14)=C%15S%13,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,19.8,0.671,0.835,5.54,3.94,1.6,5.33,3.29,2.04,11.1
631,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CC(CCCC)CCCCCC)C8=C7SC(/C=C9C(C(C=C(Cl)C(Cl)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CC(CCCCCC)CCCC)C%14=C%15SC(/C=C%16C(C(C=C(Cl)C(Cl)=C%17)=C%17C\%16=C(C#N)/C#N)=O)=C%14)=C%15S%13,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,22.2,0.74,0.813,5.51,3.95,1.56,5.33,3.29,2.04,13.4
632,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC5=C4SC6=C5C(C7=C6SC8=C7SC(/C=C9C(C(C=CC(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C(SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,22.5,0.703,0.74,5.48,4.02,1.46,5.28,3.5,1.78,11.9
633,CCCCC(CC)CC(C1=C2SC(C3=C(CCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(CCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,23.4,0.64,0.7,5.4,4,1.4,5.2,3.5,1.7,10.5
634,CCCCC(CC)CC(C1=C2SC(C3=C(OCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(CCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,24.8,0.64,0.64,5.3,4.1,1.2,5.2,3.5,1.7,10.2
635,CCCCC(CC)CC(C1=C2SC(C3=C(OCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,20.7,0.61,0.57,5.2,4.1,1.1,5.2,3.5,1.7,7.3
636,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,13.64,0.587,1.01,5.51,3.88,1.63,5.21,3.41,1.8,8.09
637,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C4=CC=C(C5=C6C=C(F)SC6=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C58)S4)S3)=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10,,,14.2,0.575,0.74,5.48,3.83,1.65,5.27,3.45,1.82,6.04
638,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCC(CC)CC(S1)=C(F)C=C1C2=C3C(C=C(C4=CC=C(C5=C6C=C(F)SC6=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C58)S4)S3)=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10,,,13.94,0.618,0.77,5.48,3.83,1.65,5.37,3.58,1.79,6.59
639,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC=C(CC(CC)CCCC)S%11,,,23.41,0.553,0.66,5.65,4.1,1.55,5.19,3.44,1.75,8.61
640,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,CC1=CC(C(S1)=C2C3=CC(F)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC(F)=C(CC(CC)CCCC)S%11,,,24.64,0.622,0.78,5.65,4.1,1.55,5.37,3.48,1.89,12.02
641,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,CC1=CC(C(S1)=C2C3=CC(F)=C(SCC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC(F)=C(SCC(CC)CCCC)S%11,,,24.68,0.637,0.83,5.65,4.1,1.55,5.41,3.5,1.91,13.1
